Cross,Fert,Direction,Genet,Species,Year,Night
55-56,51.5,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
57-56,46.23,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
77-56,67.09,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
79-56,68.54,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
90-56,59.97,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
107-56,58.34,Ova,x56,OFAV,Year 1-2019,OFAV-8/22/2019
52-57 ,84.49,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
53-57,84.95,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
54-57,2.32,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
55-57,5.73,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
56-57,84.65,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
77-57,89.04,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
79-57,90.89,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
90-57,88.99,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
107-57,83.42,Ova,x57,OFAV,Year 1-2019,OFAV-8/22/2019
52-77,95.21,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
53-77,94.67,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
54-77,94.45,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
55-57,5.73,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
56-77,93.41,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
57-77,91.75,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
79-77,95.92,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
90-77,93.37,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
107-77,95.27,Ova,x77,OFAV,Year 1-2019,OFAV-8/22/2019
52-79,93.87,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
53-79,93.94,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
54-79 ,89.9,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
55-79,92.46,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
56-79,90.01,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
57-79,87.81,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
77-79,91.83,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
90-79,95.2,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
107-79,1.95,Ova,x79.2,OFAV,Year 1-2019,OFAV-8/22/2019
52-90,82.89,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
53-90,81.66,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
54-90 ,78.25,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
55-90,80.16,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
56-90,82.57,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
57-90,80.02,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
77-90,82.8,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
79-90,84.13,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
107-90,77.18,Ova,x90,OFAV,Year 1-2019,OFAV-8/22/2019
52-107,91,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
53-107,87.83,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
54-107 ,82.59,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
55-107,86,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
56-107,82.13,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
57-107,71.63,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
77-107,86.28,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
79-107,15.56,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
90-107,87.15,Ova,x107,OFAV,Year 1-2019,OFAV-8/22/2019
U94-U24,23.73305615,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
M13-U24,67.92464187,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U50-U24,57.44650543,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U32-U24,88.47753542,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U12-U24,79.62831187,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U16-U24,82.81196785,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U4-U24,34.85380117,Ova,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U94,79.48637316,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
M13-U94,80,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U50-U94,25.75078238,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U32-U94,3.558980004,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U12-U94,88.44086022,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U16-U94,76.93722944,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U4-U94,61.94026892,Ova,U94,ACER,Year 1-2019,ACER-8/23/2019
U24-M13,73.62463925,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U94-M13,54.91587944,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U50-M13,65.4382248,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U32-M13,99.14529915,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U12-M13,97.71011396,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U16-M13,71.3221824,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U4-M13,85.625731,Ova,M13,ACER,Year 1-2019,ACER-8/23/2019
U24-U50,71.94211018,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U94-U50,78.56084078,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
M13-U50,82.56334497,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U32-U50,82.00418629,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U12-U50,77.27272727,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U16-U50,68.86353203,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U4-U50,76.52474783,Ova,U50,ACER,Year 1-2019,ACER-8/23/2019
U24-U32,63.04893194,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U94-U32,4.640593657,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
M13-U32,61.11291486,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U50-U32,38.56214428,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U12-U32,69.31450946,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U16-U32,54.01213739,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U4-U32,46.15157174,Ova,U32,ACER,Year 1-2019,ACER-8/23/2019
U24-U12,37.49503431,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U94-U12,19.32789433,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
M13-U12,48.16249429,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U50-U12,18.8730341,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U32-U12,69.88176698,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U16-U12,40.72032559,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U4-U12,7.250438967,Ova,U12,ACER,Year 1-2019,ACER-8/23/2019
U24-U16,78.06823217,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U94-U16,66.31701632,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
M13-U16,79.40161572,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U50-U16,40.65711391,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U32-U16,89.21460057,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U12-U16,84.52380952,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U4-U16,48.24738614,Ova,U16,ACER,Year 1-2019,ACER-8/23/2019
U24-U4,54.30542167,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U94-U4,84.45578231,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
M13-U4,74.89020641,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U50-U4,42.67406104,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U32-U4,75.24748511,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U12-U4,6.184055445,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U16-U4,80.76907001,Ova,U4,ACER,Year 1-2019,ACER-8/23/2019
U24-U94,79.48637317,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-M13,73.62463925,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U50,71.94211018,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U32,63.04893194,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U12,37.49503431,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U16,78.06823217,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U24-U4,54.30542167,Sperm,U24,ACER,Year 1-2019,ACER-8/23/2019
U94-U24,23.73305615,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-M13,54.91587944,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-U50,78.56084078,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-U32,4.640593657,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-U12,19.32789433,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-U16,66.31701632,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
U94-U4,84.45578231,Sperm,U94,ACER,Year 1-2019,ACER-8/23/2019
M13-U24,67.92464187,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U94,80,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U50,82.56334497,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U32,61.11291486,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U12,48.16249429,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U16,79.40161572,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
M13-U4,74.89020641,Sperm,M13,ACER,Year 1-2019,ACER-8/23/2019
U50-U24,57.44650543,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-U94,25.75078238,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-M13,65.4382248,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-U32,38.56214428,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-U12,18.8730341,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-U16,40.65711391,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U50-U4,42.67406104,Sperm,U50,ACER,Year 1-2019,ACER-8/23/2019
U32-U24,88.47753543,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-U94,3.558980004,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-M13,99.14529915,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-U50,82.00418629,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-U12,69.88176698,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-U16,89.21460057,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U32-U4,75.24748511,Sperm,U32,ACER,Year 1-2019,ACER-8/23/2019
U12-U24,79.62831187,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-U94,88.44086022,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-M13,97.71011396,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-U50,77.27272727,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-U32,69.31450946,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-U16,84.52380952,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U12-U4,6.184055446,Sperm,U12,ACER,Year 1-2019,ACER-8/23/2019
U16-U24,82.81196785,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-U94,76.93722944,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-M13,71.3221824,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-U50,68.86353203,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-U32,54.01213739,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-U12,40.72032559,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U16-U4,80.76907001,Sperm,U16,ACER,Year 1-2019,ACER-8/23/2019
U4-U24,34.85380117,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-U94,61.94026892,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-M13,85.62573099,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-U50,76.52474783,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-U32,46.15157174,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-U12,7.250438967,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
U4-U16,48.24738614,Sperm,U4,ACER,Year 1-2019,ACER-8/23/2019
B8-U38,98.37398374,Sperm,B8,ACER,Year 1-2019,ACER-8/22/2019
B8-U50,71.64005648,Sperm,B8,ACER,Year 1-2019,ACER-8/22/2019
B8-U94,83.68451449,Sperm,B8,ACER,Year 1-2019,ACER-8/22/2019
U38-B8,79.12898059,Sperm,U38,ACER,Year 1-2019,ACER-8/22/2019
U38-U50,64.12309368,Sperm,U38,ACER,Year 1-2019,ACER-8/22/2019
U38-U94,64.12309368,Sperm,U38,ACER,Year 1-2019,ACER-8/22/2019
U50-B8,87.17634567,Sperm,U50,ACER,Year 1-2019,ACER-8/22/2019
U50-U38,96.48926237,Sperm,U50,ACER,Year 1-2019,ACER-8/22/2019
U50-U94,37.47303622,Sperm,U50,ACER,Year 1-2019,ACER-8/22/2019
U94-B8,88.80461954,Sperm,U94,ACER,Year 1-2019,ACER-8/22/2019
U94-U38,90.4885549,Sperm,U94,ACER,Year 1-2019,ACER-8/22/2019
U94-U50,65.40308691,Sperm,U94,ACER,Year 1-2019,ACER-8/22/2019
U38-B8,79.12898059,Ova,B8,ACER,Year 1-2019,ACER-8/22/2019
U50-B8,87.17634567,Ova,B8,ACER,Year 1-2019,ACER-8/22/2019
U94-B8,88.80461954,Ova,B8,ACER,Year 1-2019,ACER-8/22/2019
B8-U38,98.37398374,Ova,U38,ACER,Year 1-2019,ACER-8/22/2019
U50-U38,96.48926237,Ova,U38,ACER,Year 1-2019,ACER-8/22/2019
U94-U38,90.4885549,Ova,U38,ACER,Year 1-2019,ACER-8/22/2019
B8-U50,71.64005648,Ova,U50,ACER,Year 1-2019,ACER-8/22/2019
U38-U50,64.12309368,Ova,U50,ACER,Year 1-2019,ACER-8/22/2019
U94-U50,65.40308691,Ova,U50,ACER,Year 1-2019,ACER-8/22/2019
B8-U94,83.68451449,Ova,U94,ACER,Year 1-2019,ACER-8/22/2019
U38-U94,64.12309368,Ova,U94,ACER,Year 1-2019,ACER-8/22/2019
U50-U94,37.47303622,Ova,U94,ACER,Year 1-2019,ACER-8/22/2019
