fert,time,fert_sq,fert_sqrt,fert_ln
84.39068673,12,7121.788007,9.186440373,4.435457049
91.09219115,13,8297.787288,9.54422292,4.511872083
94.35737013,14,8903.313297,9.713772188,4.547089384
90.71349276,15,8228.93777,9.524363116,4.507706109
93.87967824,16,8813.393987,9.689152607,4.542013944
96.0159324,17,9219.059275,9.798771984,4.56451414
95.72,1,9162.241941,9.783639436,4.561423091
93.94,2,8824.42443,9.692182811,4.54263933
94.5,3,8930.049734,9.721056547,4.548588622
93.5,4,8742.981791,9.66974215,4.538003288
92.68,5,8590.498528,9.627301922,4.529206025
96.04,6,9223.67664,9.799998683,4.564764502
96.64,7,9338.645762,9.830395151,4.570958264
97.79,8,9562.858781,9.888876101,4.582820998
93.53,9,8747.701514,9.67104689,4.53827313
94.76,10,8980.029424,9.734629791,4.551379219
83.16,11,6915.456327,9.119167875,4.420757116
80.84,12,6535.423352,8.991216007,4.392496203
1.41,13,1.977496065,1.185847676,0.340915715
68.45,14,4685.9922,8.273711827,4.226166477
97.24,15,9454.865841,9.860838425,4.577142396
96.23,16,9260.001428,9.809633082,4.566729741
91.31,17,8337.263221,9.555554158,4.514245145
92.63,18,8581.020724,9.624645398,4.528654075
96.33,19,9279.399204,9.814766337,4.567776041
95.74,20,9165.848334,9.78460204,4.561619859
0.48,21,0.227321793,0.690494571,-0.740694336
90.77,22,8239.402975,9.527389841,4.508341583
0.46,23,0.211664912,0.678285007,-0.776375429
94.86,24,8999.199974,9.739821005,4.55244548
95.69,25,9156.641502,9.782144026,4.561117371
95.29,26,9080.222907,9.761670125,4.55692701
93.01,27,8650.128849,9.643965413,4.532664748
91.57,28,8385.02029,9.569208766,4.517101047
92.98,29,8645.141132,9.64257492,4.532376362
1.68,30,2.833101442,1.297375019,0.520686014
89.09,31,7936.875482,9.438704543,4.48963748
0.89,32,0.791257968,0.943147296,-0.117065618
90.13,33,8124.218339,9.493916258,4.501302399
92.59,34,8573.337558,9.622490276,4.528206191
89.99,35,8097.518903,9.486106423,4.499656493
90.43,36,8177.367867,9.509405869,4.504562801
7.21,37,51.98785647,2.685192824,1.975505081
7.37,38,54.31610525,2.714764462,1.99741039
53.72,39,2885.816679,7.329379089,3.983781608
51.5,40,2652.493338,7.176514645,3.941627679
46.23,41,2137.66197,6.799621802,3.833733987
67.09,42,4500.663045,8.19066427,4.205990004
68.54,43,4697.639187,8.278848099,4.22740768
59.97,44,3595.932209,7.743777642,4.093779272
58.34,45,3403.542921,7.638055468,4.066286102
84.49,46,7138.23038,9.19173807,4.436610089
84.95,47,7216.118263,9.216709739,4.442036225
2.32,48,5.372057749,1.52242241,0.840605514
5.73,49,32.87664947,2.394538851,1.746381332
84.65,50,7166.121799,9.200703731,4.438559947
89.04,51,7928.867494,9.436322824,4.489132746
90.89,52,8260.610867,9.533514711,4.509626909
88.99,53,7919.009963,9.433388538,4.488510736
83.42,54,6958.463098,9.133312808,4.423856955
95.21,55,9064.470397,9.757433694,4.556058849
94.67,56,8962.157933,9.72978286,4.550383159
94.45,57,8921.591569,9.718753885,4.548114818
5.73,58,32.87664947,2.394538851,1.746381332
93.41,59,8724.497373,9.664627149,4.536945069
91.75,60,8417.490932,9.578459434,4.519033537
95.92,61,9199.974179,9.793696742,4.563477978
93.37,62,8717.885661,9.662795585,4.536566009
95.27,63,9075.755375,9.760469201,4.556680946
93.87,64,8812.261563,9.688841355,4.541949695
93.94,65,8824.891068,9.69231094,4.542665769
89.9,66,8081.244933,9.481336657,4.498650608
92.46,67,8548.640591,9.61555297,4.526763777
90.01,68,8101.926362,9.487396976,4.499928567
87.81,69,7710.033529,9.370528085,4.475138908
91.83,70,8431.895774,9.582554709,4.519888455
95.2,71,9063.34227,9.757130087,4.555996617
1.95,72,3.810316822,1.397141111,0.668856171
82.89,73,6871.574131,9.104666848,4.417574245
81.66,74,6668.321882,9.036580855,4.402561758
78.25,75,6122.934217,8.845856674,4.359898354
80.16,76,6426.214623,8.953416887,4.384070469
82.57,77,6817.344239,9.086650122,4.413612634
80.02,78,6403.87599,8.945625818,4.382329355
82.8,79,6856.314047,9.099607824,4.416462633
84.13,80,7077.730258,9.1721997,4.432354275
77.18,81,5956.119687,8.784981556,4.346087244
91,82,8281.138509,9.539431903,4.51086787
87.83,83,7714.86356,9.371995307,4.47545204
82.59,84,6820.731379,9.087778568,4.413860993
86,85,7396.79421,9.273867444,4.454400985
82.13,86,6745.817463,9.062721753,4.408338978
71.63,87,5130.630461,8.463357453,4.271491914
86.28,88,7444.099973,9.288659634,4.457588524
15.56,89,242.0775133,3.944469592,2.744628989
87.15,90,7594.539284,9.335237216,4.467592376
